ORIGIN	FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
MIXED	289	289	0.0115386	-0.00542819	-0.00347703	-0.0182299	-0.00746673	0.0126277	-0.00342489	-0.0138151	0.0213344	-0.0154064
MIXED	382	382	0.013892	0.00293117	-3.45E-05	0.00319224	0.0152298	-0.00633333	-0.0268024	-0.0183108	-0.0151963	-0.0153658
MIXED	460	460	0.00969515	-0.000196999	-0.00108874	-0.0189697	-0.0184347	0.00552069	0.00635723	-0.0154836	-0.0215697	-0.0198767
MIXED	490	490	0.00816122	0.00427795	0.00630277	-0.0305455	0.0221749	-0.00680687	0.027031	0.0129213	-0.0149489	0.000813433
MIXED	515	515	0.00431558	0.00509198	-0.00257736	-0.000313832	-0.00993863	0.0195235	-0.0159517	0.00369861	0.0174712	0.0293656
MIXED	575	575	0.00682946	0.00264182	0.00833514	-0.0233937	-0.00117574	-0.0372085	0.0235183	0.0144422	-0.00172451	-0.0189319
MIXED	635	635	0.011656	0.00249976	0.00485451	-0.0147527	0.00984802	-0.0320157	0.00265748	0.00320743	0.00290635	-0.0372801
MIXED	1101	1101	-0.00160226	0.00552335	-0.00222451	-0.00981391	0.00397556	0.0140767	0.00793343	0.0123145	0.00519715	-0.0118496
MIXED	1195	1195	0.010413	0.00287707	0.00245388	-0.0174328	-0.000445139	-0.00277727	0.0185919	0.00567389	-0.00802914	0.0165945
MIXED	1355	1355	0.0125594	0.00445606	0.00708374	-0.0180446	0.00784272	-0.0148347	0.0101633	0.000120348	0.0247072	0.0162536
MIXED	1360	1360	0.0132015	-0.00145059	-0.00182195	0.00113661	-0.0132746	0.00380052	-0.0177264	0.0264157	0.000678154	0.0175439
MIXED	1379	1379	0.0083354	0.00170039	0.0033857	-0.0244226	-0.0081171	-0.0358271	0.0189582	0.00180064	0.0263246	-0.00822577
MIXED	1412	1412	0.00811887	0.00104945	0.0080853	-0.0227747	0.00430498	-0.0264171	0.0230868	-0.000475409	0.0143441	-0.0132539
MIXED	1631	1631	0.00276498	0.00575372	-0.00212859	0.00420953	-0.00491502	-0.0104729	-0.0167156	0.0266291	0.0203712	0.00269007
